Period,Sales
1,488.00
2,488.00
3,489.00
4,493.00
5,494.00
6,496.00
7,501.00
8,501.00
9,501.00
10,501.00
11,501.00
12,506.00
13,506.00
14,506.00
15,507.00
16,507.00
17,510.00
18,512.00
19,516.00
20,517.00
21,517.00
22,518.00
23,518.00
24,521.00
25,522.00
26,524.00
27,524.00
28,524.00
29,525.00
30,529.00
31,531.00
32,531.00
33,535.00
34,535.00
35,535.00
36,537.00
37,535.00
38,535.00
39,536.00
40,539.00
41,543.00
42,553.00
43,554.00
44,555.00
45,556.00
46,559.00
47,560.00
48,566.00
49,567.00
50,568.00
51,569.00
52,573.00
53,581.00
54,585.00
55,594.00
56,598.00
57,600.00
58,609.00
59,615.00
60,619.00
61,624.00
62,625.00
63,626.00
64,629.00
65,630.00
66,634.00
67,649.00
68,647.00
69,652.00
70,656.00
71,661.00
72,668.00
73,674.00
74,680.00
75,685.00
76,690.00
77,691.00
78,692.00
79,697.00
80,700.00
81,709.00
82,709.00
83,708.00
84,713.00
85,716.00
86,720.00
87,724.00
88,728.00
89,729.00
90,735.00
91,739.00
92,740.00
93,750.00
94,751.00
95,755.00
96,766.00
97,771.00
98,774.00
99,778.00
100,785.00
101,787.00
102,787.00
103,795.00
104,809.00
105,810.00
106,810.00
107,820.00
108,825.00
109,835.00
110,845.00
111,853.00
112,858.00
113,864.00
114,868.00
115,876.00
